mode,run_id,best_epoch,replicate,accuracy,kappa,f1-score,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
central,279,482,1,0.496062992125984,0.686928511234849,0.441461370077415,TMA14,0.446153846153846,0.692916827787959,0.390709475961357
central,280,425,1,0.493775933609959,0.596214487960843,0.387725311368767,TMA15,0.548717948717949,0.643106643649359,0.476436333854365
central,281,252,1,0.546468401486989,0.656797000202269,0.476273925249357,TMA16,0.461538461538462,0.659568256162449,0.394323444763586
central,282,133,1,0.540322580645161,0.714712497639201,0.427097074343096,TMA17,0.456410256410256,0.62027311898418,0.396154139451074
central,283,113,1,0.536036036036036,0.693377848489784,0.452447040568368,TMA18,0.512820512820513,0.718019257221458,0.456363439684817
central,284,237,1,0.519916142557652,0.692790952241651,0.431416471121974,TMA19,0.41025641025641,0.637363783304656,0.328936419879684
central,285,209,2,0.454724409448819,0.676042815122803,0.430691686114031,TMA14,0.415384615384615,0.633827299734316,0.411387679581318
central,286,431,2,0.481327800829876,0.549829008661334,0.362356262975749,TMA15,0.461538461538462,0.673571412303277,0.404967686282104
central,287,134,2,0.561338289962825,0.710763956523433,0.473931216423372,TMA16,0.517948717948718,0.700149145017516,0.467618032545201
central,288,444,2,0.520161290322581,0.711579604546873,0.427435410513948,TMA17,0.482051282051282,0.663665076271756,0.436426649566012
central,289,203,2,0.533783783783784,0.634523178852357,0.421828122600402,TMA18,0.435897435897436,0.638146346356387,0.343723056820161
central,290,200,2,0.486373165618449,0.709204118118488,0.417978700958931,TMA19,0.492307692307692,0.723788302083275,0.450111620001543
central,291,473,3,0.553149606299213,0.742268041237113,0.470790605018695,TMA14,0.476923076923077,0.707659981348789,0.421272313887203
central,292,472,3,0.5,0.599395014182375,0.39323486692259,TMA15,0.517948717948718,0.724438997789414,0.476333837344122
central,293,409,3,0.516728624535316,0.632061986352831,0.411511978528785,TMA16,0.512820512820513,0.704875380490542,0.43278928533989
central,294,150,3,0.504032258064516,0.686196401010545,0.390813457952748,TMA17,0.451282051282051,0.586289959330753,0.385310890995919
central,295,244,3,0.581081081081081,0.682326222627063,0.483322925946478,TMA18,0.476923076923077,0.716182925102647,0.452959270943653
central,296,164,3,0.515723270440252,0.701646697330181,0.420937437185285,TMA19,0.430769230769231,0.697863895127174,0.383199789197599
federated,236,382,1,0.433070866141732,0.538839639795186,0.307328496565224,TMA14,0.435897435897436,0.53472661415512,0.335530683242169
federated,237,487,1,0.427385892116183,0.50445434298441,0.278428964908605,TMA15,0.456410256410256,0.669228048933989,0.392892399242905
federated,238,492,1,0.494423791821561,0.682011122790809,0.424745680197999,TMA16,0.435897435897436,0.66293124253948,0.348983038133086
federated,239,449,1,0.481854838709677,0.699500664253974,0.377403079743274,TMA17,0.471794871794872,0.665709351534973,0.396539262056503
federated,240,443,1,0.439189189189189,0.630218317434057,0.389334030551885,TMA18,0.512820512820513,0.706368953371894,0.434919352704647
federated,241,443,1,0.394129979035639,0.655239833763442,0.323320715083818,TMA19,0.435897435897436,0.612260331575276,0.374438799254284
federated,242,446,2,0.431102362204724,0.623071867233553,0.350868427741633,TMA14,0.441025641025641,0.6470703125,0.402093398145444
federated,243,426,2,0.45850622406639,0.537830455200284,0.342850553586413,TMA15,0.451282051282051,0.691258296120614,0.353086739838101
federated,244,469,2,0.557620817843866,0.729597876246327,0.485431368723571,TMA16,0.435897435897436,0.699726674280435,0.376751761310585
federated,245,470,2,0.467741935483871,0.660685685900016,0.337350103490908,TMA17,0.435897435897436,0.669175995573203,0.350317637258472
federated,246,415,2,0.31981981981982,0.555037978119562,0.322220142308275,TMA18,0.451282051282051,0.708949678304445,0.40264499511389
federated,247,458,2,0.425576519916143,0.674387093897181,0.359518312800358,TMA19,0.497435897435897,0.710506237024682,0.461326445529497
federated,248,359,3,0.452755905511811,0.641095625709524,0.369233834123423,TMA14,0.451282051282051,0.607600615226865,0.37202081431969
federated,249,488,3,0.460580912863071,0.472129999161359,0.311877867619833,TMA15,0.461538461538462,0.620799818165747,0.387307754306382
federated,250,381,3,0.490706319702602,0.688263368963572,0.430788679919115,TMA16,0.497435897435897,0.67275494672755,0.420091780193648
federated,251,469,3,0.479838709677419,0.672272396011107,0.383579627307042,TMA17,0.456410256410256,0.690666257291986,0.382451728697859
federated,252,347,3,0.439189189189189,0.691711738049993,0.397911170154366,TMA18,0.497435897435897,0.680684962806875,0.434108615117415
federated,253,460,3,0.457023060796646,0.713384717136916,0.399093208902043,TMA19,0.461538461538462,0.685342065921549,0.412879255820432
TMA14,261,431,1,0.406639004149378,0.421277285037526,0.282971656501068,TMA15,0.446153846153846,0.564452309466526,0.370413190097098
TMA14,261,431,1,0.483271375464684,0.521120717200581,0.371921657854457,TMA16,,,
TMA14,261,431,1,0.512096774193548,0.650163713837183,0.389935546368295,TMA17,,,
TMA14,261,431,1,0.355855855855856,0.368797255225872,0.25543937638557,TMA18,,,
TMA14,261,431,1,0.394129979035639,0.472925231647368,0.275612290245428,TMA19,,,
TMA15,262,216,1,0.322834645669291,0.525618436817253,0.296841401304053,TMA14,0.4,0.52014805126511,0.358398879825011
TMA15,262,216,1,0.368029739776952,0.527097013294309,0.290212211376151,TMA16,,,
TMA15,262,216,1,0.278225806451613,0.537930493449439,0.229505055112617,TMA17,,,
TMA15,262,216,1,0.378378378378378,0.524240683137519,0.314017327562949,TMA18,,,
TMA15,262,216,1,0.308176100628931,0.475848495430004,0.267380451602566,TMA19,,,
TMA16,263,32,1,0.391732283464567,0.353774059250619,0.193080132930529,TMA14,0.343589743589744,0.28123149269431,0.17749766573296
TMA16,263,32,1,0.390041493775934,0.339362302112981,0.204526792296081,TMA15,,,
TMA16,263,32,1,0.395161290322581,0.332846126707323,0.205145310870128,TMA17,,,
TMA16,263,32,1,0.346846846846847,0.445558613604186,0.201984717350256,TMA18,,,
TMA16,263,32,1,0.360587002096436,0.387237278403418,0.185036139306278,TMA19,,,
TMA17,264,459,1,0.509842519685039,0.655850472484714,0.445883682123258,TMA14,0.451282051282051,0.64653389416932,0.366716811083745
TMA17,264,459,1,0.396265560165975,0.443901578937954,0.280135883238614,TMA15,,,
TMA17,264,459,1,0.442379182156134,0.452118611392101,0.27004509358882,TMA16,,,
TMA17,264,459,1,0.421171171171171,0.513541164050341,0.288439955591804,TMA18,,,
TMA17,264,459,1,0.429769392033543,0.567289454152273,0.28739329894673,TMA19,,,
TMA18,265,397,1,0.248031496062992,0.470411143033442,0.238148235092898,TMA14,0.230769230769231,0.411386158614361,0.200892343015729
TMA18,265,397,1,0.439834024896266,0.566432422736433,0.317455927497999,TMA15,,,
TMA18,265,397,1,0.468401486988848,0.669055659684092,0.381966733732761,TMA16,,,
TMA18,265,397,1,0.276209677419355,0.4568636920905,0.229992990989855,TMA17,,,
TMA18,265,397,1,0.461215932914046,0.629699077502233,0.372609002010281,TMA19,,,
TMA19,266,212,1,0.301181102362205,0.493957621475279,0.240830810438654,TMA14,0.276923076923077,0.471364166400523,0.212218501584654
TMA19,266,212,1,0.464730290456432,0.375563395378504,0.284175602641193,TMA15,,,
TMA19,266,212,1,0.49814126394052,0.56028171463351,0.342744330493414,TMA16,,,
TMA19,266,212,1,0.304435483870968,0.533149008765222,0.243619802901387,TMA17,,,
TMA19,266,212,1,0.490990990990991,0.560047254882772,0.340736095839142,TMA18,,,
TMA14,267,453,2,0.392116182572614,0.430375250362736,0.302718810152203,TMA15,0.466666666666667,0.581486952240276,0.395019110503213
TMA14,267,453,2,0.397769516728624,0.502421150606171,0.308290534864284,TMA16,,,
TMA14,267,453,2,0.497983870967742,0.6544793436752,0.381862020028915,TMA17,,,
TMA14,267,453,2,0.385135135135135,0.343882694839851,0.326456706688452,TMA18,,,
TMA14,267,453,2,0.406708595387841,0.485968405945363,0.32025944801669,TMA19,,,
TMA15,268,221,2,0.37992125984252,0.548470355675681,0.317079508645031,TMA14,0.38974358974359,0.546264409844566,0.334869839077691
TMA15,268,221,2,0.408921933085502,0.500545942165352,0.255740850765848,TMA16,,,
TMA15,268,221,2,0.340725806451613,0.584524230480642,0.286436891483675,TMA17,,,
TMA15,268,221,2,0.391891891891892,0.481794668102361,0.282437155554865,TMA18,,,
TMA15,268,221,2,0.389937106918239,0.49050025181389,0.286509122361959,TMA19,,,
TMA16,269,296,2,0.37992125984252,0.392424850645824,0.251346485877962,TMA14,0.302564102564102,0.210231814548361,0.215637263759362
TMA16,269,296,2,0.454356846473029,0.487756517298097,0.368104033112696,TMA15,,,
TMA16,269,296,2,0.366935483870968,0.221854435118414,0.232310410792948,TMA17,,,
TMA16,269,296,2,0.416666666666667,0.577663384064458,0.365019038472034,TMA18,,,
TMA16,269,296,2,0.415094339622642,0.582830068648105,0.335081819974748,TMA19,,,
TMA17,270,349,2,0.496062992125984,0.641399491747311,0.428176780826396,TMA14,0.451282051282051,0.64758898290167,0.398687541471922
TMA17,270,349,2,0.379668049792531,0.457958581131625,0.278298234962026,TMA15,,,
TMA17,270,349,2,0.420074349442379,0.413226218344328,0.247845441503811,TMA16,,,
TMA17,270,349,2,0.427927927927928,0.422609836971539,0.290324967143853,TMA18,,,
TMA17,270,349,2,0.417190775681342,0.541972914350751,0.28106143434183,TMA19,,,
TMA18,271,321,2,0.328740157480315,0.559885408484309,0.267515935913766,TMA14,0.328205128205128,0.514174129688236,0.278476930888974
TMA18,271,321,2,0.45850622406639,0.516733002893418,0.334672263118146,TMA15,,,
TMA18,271,321,2,0.483271375464684,0.673872345529866,0.400790800444747,TMA16,,,
TMA18,271,321,2,0.330645161290323,0.570768835346693,0.250118857755016,TMA17,,,
TMA18,271,321,2,0.457023060796646,0.640208464586743,0.375910321569789,TMA19,,,
TMA19,272,409,2,0.375984251968504,0.501436557846291,0.298657578060155,TMA14,0.353846153846154,0.580009681560836,0.286718364089628
TMA19,272,409,2,0.450207468879668,0.413345178060059,0.281127266428152,TMA15,,,
TMA19,272,409,2,0.49814126394052,0.671685673182987,0.40933550250154,TMA16,,,
TMA19,272,409,2,0.372983870967742,0.547618567714107,0.272336112592608,TMA17,,,
TMA19,272,409,2,0.477477477477478,0.626508298080052,0.362515132104476,TMA18,,,
TMA14,273,426,3,0.394190871369295,0.435357864594096,0.302057370867687,TMA15,0.441025641025641,0.568922851543167,0.353544200323641
TMA14,273,426,3,0.442379182156134,0.564571905069448,0.332691334949399,TMA16,,,
TMA14,273,426,3,0.514112903225807,0.6292940171575,0.378305308042724,TMA17,,,
TMA14,273,426,3,0.40990990990991,0.468864729690086,0.366385789967362,TMA18,,,
TMA14,273,426,3,0.389937106918239,0.477284863775437,0.282952959151686,TMA19,,,
TMA15,274,281,3,0.413385826771654,0.481533129212518,0.334244531234379,TMA14,0.379487179487179,0.518648513133027,0.335335860057746
TMA15,274,281,3,0.460966542750929,0.631121002755738,0.352853158759995,TMA16,,,
TMA15,274,281,3,0.431451612903226,0.525651481610936,0.346389579478264,TMA17,,,
TMA15,274,281,3,0.425675675675676,0.61167801220717,0.356846061067792,TMA18,,,
TMA15,274,281,3,0.467505241090147,0.579845445560273,0.367264278785462,TMA19,,,
TMA16,275,328,3,0.440944881889764,0.388695911075824,0.301982352641211,TMA14,0.338461538461538,0.306483655409066,0.260607657000901
