mode,run_id,best_epoch,replicate,accuracy,kappa,f1-score,test_dataset,accuracy_TMA20,kappa_TMA20,f1-score_TMA20
central,1,254,1,0.529111338100102,0.624908937523496,0.392644568745944,spl_1,0.461538461538462,0.657546504994463,0.405388802320851
central,2,460,1,0.439252336448598,0.698324725507554,0.381828404861841,spl_2,0.446153846153846,0.681799306339449,0.413669643036655
central,3,398,1,0.460166468489893,0.63303960654649,0.403268208428821,spl_3,0.466666666666667,0.694139805605075,0.422082503920569
central,4,334,2,0.519918283963228,0.627213302024497,0.387015825721216,spl_1,0.446153846153846,0.685717827919663,0.393898086543988
central,5,451,2,0.396028037383178,0.693174458782087,0.351615133508252,spl_2,0.435897435897436,0.706412310669045,0.402703558285769
central,6,480,2,0.505350772889417,0.649527117378068,0.435440189607955,spl_3,0.456410256410256,0.6523519845811,0.441637506362025
central,7,449,3,0.515832482124617,0.607389888233442,0.381618360235045,spl_1,0.476923076923077,0.698139100839875,0.419709145378276
central,8,410,3,0.400700934579439,0.67581042848166,0.347038066173591,spl_2,0.451282051282051,0.721988500911513,0.416259272642251
central,9,393,3,0.502972651605232,0.640289994974444,0.425232825807467,spl_3,0.466666666666667,0.646186718871235,0.429031612416296
federated,10,374,1,0.510725229826353,0.634233641396849,0.407940077654568,spl_1,0.466666666666667,0.739960164110247,0.456288413555434
federated,11,473,1,0.396028037383178,0.646272310783266,0.325217216126003,spl_2,0.451282051282051,0.68566493955095,0.396320302553905
federated,12,492,1,0.416171224732461,0.583615638047421,0.373283848759469,spl_3,0.425641025641026,0.697973824973946,0.422702569761393
federated,13,457,2,0.501532175689479,0.594065534643194,0.372187742273536,spl_1,0.476923076923077,0.701707695719672,0.416985084884127
federated,14,482,2,0.376168224299065,0.656062972929643,0.310169747864071,spl_2,0.461538461538462,0.723644182722264,0.41879470589148
federated,15,368,2,0.462544589774079,0.611280344263729,0.378611547630289,spl_3,0.451282051282051,0.660938684262485,0.404402500626757
federated,16,295,3,0.51685393258427,0.616479662494871,0.369330492295114,spl_1,0.476923076923077,0.71433231517452,0.41870834629748
federated,17,492,3,0.364485981308411,0.651616435198525,0.312910816137475,spl_2,0.446153846153846,0.678440724098402,0.411392956099545
federated,18,473,3,0.495838287752675,0.662196068683659,0.432263956257901,spl_3,0.425641025641026,0.65740404721171,0.38874317775027
spl_1,19,286,1,0.339953271028037,0.584449528980946,0.270860044633467,spl_2,0.358974358974359,0.580171531429782,0.285365813468915
spl_1,19,286,1,0.424494649227111,0.554888836115882,0.353861679900129,spl_3,,,
spl_2,20,492,1,0.475995914198161,0.618372940156114,0.358184805339466,spl_1,0.446153846153846,0.659895585037731,0.413976788936314
spl_2,20,492,1,0.462544589774079,0.629845943739148,0.408319499104885,spl_3,,,
spl_3,21,476,1,0.488253319713994,0.590958927925477,0.363543744497689,spl_1,0.451282051282051,0.68199570337652,0.394190777934557
spl_3,21,476,1,0.397196261682243,0.649140894802733,0.319207096196758,spl_2,,,
spl_1,22,468,2,0.299065420560748,0.472523523937545,0.239047575187609,spl_2,0.338461538461538,0.489519088759722,0.301122480629043
spl_1,22,468,2,0.319857312722949,0.39763777810985,0.273323822568856,spl_3,,,
spl_2,23,496,2,0.468845760980592,0.608127555348004,0.359544188072278,spl_1,0.415384615384615,0.630252051201777,0.368780680227286
spl_2,23,496,2,0.508917954815696,0.700203915401444,0.427440260699934,spl_3,,,
spl_3,24,483,2,0.479060265577119,0.58568893362754,0.352258105524249,spl_1,0.533333333333333,0.663924794359577,0.464609442710727
spl_3,24,483,2,0.413551401869159,0.645390280004176,0.332334455829566,spl_2,,,
spl_1,25,451,3,0.336448598130841,0.541527985003252,0.283784092115525,spl_2,0.338461538461538,0.510802785173049,0.281862697820485
spl_1,25,451,3,0.457788347205707,0.532238235498602,0.394838511508986,spl_3,,,
spl_2,26,486,3,0.521961184882533,0.602323241526142,0.37063117046145,spl_1,0.425641025641026,0.663670816271457,0.387361652167477
spl_2,26,486,3,0.502972651605232,0.666005885709167,0.402039850821222,spl_3,,,
spl_3,27,448,3,0.465781409601634,0.56032600601438,0.349202079738119,spl_1,0.482051282051282,0.668383667711084,0.439564741438804
spl_3,27,448,3,0.397196261682243,0.617875636416881,0.323910038394475,spl_2,,,
