images/0005f7aaab2800f6170c399693a96917.png,images/000920ad0b612851f8e01bcc880d9b3d.png,images/001c62abd11fa4b57bf7a6c603a11bb9.png,images/003046e27c8ead3e3db155780dc5498e.png,images/0032bfa835ce0f43a92ae0bbab6871cb.png,images/00d7ec94436e3a1416a3b302914957d3.png
-0.7507263,-1.150223,-0.6729664,-0.7816863,-1.6767095,0.546986
1.9233661,0.972166,0.42174685,0.57262444,0.32150054,0.2462628
0.7745774,0.9407238,0.9818949,0.6712948,0.50458205,1.2908442
-0.105448335,-0.4859239,-1.0682559,-0.7027315,-0.23926601,-0.45599774
-0.88970244,-1.6186318,-2.1072037,-1.4231601,-0.48795977,-1.181111
0.8581358,0.8648737,1.2679379,1.6494542,1.0649637,0.5969344
-0.70927954,-1.5967085,-1.7597444,-2.1359215,-0.24552569,-2.0934956
-0.07848123,0.61036605,0.7293481,0.99753815,0.6225512,0.42473418
0.39009404,1.1797891,0.86088955,1.6550651,0.6669633,1.362116
1.1804916,-0.32853857,-0.32540587,0.04600051,0.049404044,-0.10845209
0.99886465,0.06080965,-1.0066916,-0.3422106,-1.1821791,-0.11157599
-0.9246892,-1.2709651,-1.5590941,-1.3929693,-1.8147683,0.42280194
-1.8051776,-2.2828722,-1.8645692,-2.4483151,-1.7073275,-2.0815172
-1.9903396,-2.9439886,-2.9743412,-2.0610893,-2.2203164,-1.1774105
1.114358,1.7024509,1.9205186,1.2021132,1.8322669,0.5352877
-1.5103127,-1.632968,-1.8369008,-1.5134119,-2.307708,-1.3141325
-0.61777467,-0.68407494,-0.1497835,-0.3602094,-0.6766197,0.4547205
0.7036398,1.3910859,-0.22230391,1.2577903,0.36183053,2.4835243
-1.2002659,-0.597797,-0.06377445,-0.45065188,-0.41860855,-1.682862
-1.0155022,0.102625884,-0.2572752,-0.7731282,0.46533972,0.21085759
0.5990368,-0.22561982,-0.20741393,-0.088570856,0.21626209,-0.17021188
-0.9316516,-0.9129744,-0.6903797,-0.82688105,-0.88247186,0.157235
-2.5263047,-3.3922389,-2.603518,-3.6939852,-2.0204678,-3.7092001
-0.7352892,0.13316333,-0.23874398,-0.102437966,-0.9263796,0.116802335
0.18610857,0.3803452,0.7287394,0.43199748,0.3532238,0.5109418
-0.28061536,0.65413105,-0.17486124,-0.022614965,-0.19406411,1.1744758
-0.2912399,-0.9483498,-0.49959698,-0.29491282,-0.79350877,-1.3665252
-0.8241103,-0.30664966,0.10193255,-0.33436605,0.30261225,-1.4007198
1.5660278,1.0809875,2.4898918,2.166324,2.3484924,2.029576
-1.1351231,-0.7199477,-0.87930256,-1.4206151,-0.74003655,-0.7576303
0.027374623,-0.53781784,-0.59276164,-0.6842818,-0.058471963,-0.11526229
-0.95973015,-0.7788495,0.2218011,-1.0593953,-0.14436229,-1.0809298
-1.6788675,-2.2095482,-2.3562267,-1.6641121,-1.9121214,-1.1452109
0.88847196,1.103273,1.4115286,0.7544307,0.9435527,-0.87938946
-0.69409716,-0.55665505,0.15105183,-0.550183,-1.1113015,-0.030589303
0.051313113,-0.8504543,-1.8571347,-0.622675,-1.5146339,0.22636558
-0.3984521,-0.38895833,-1.1759278,-0.87875605,-0.25569004,0.23294342
-0.69536775,-0.6637753,0.047588985,-0.38412502,-0.69130737,-0.73883164
-0.18639734,0.99199826,-0.5233275,-0.18815704,-1.4795077,1.2113184
0.28622377,0.7037859,1.522693,1.4074388,1.406335,-0.31404886
0.40521982,0.20495786,-0.6638293,-0.805315,-0.18862653,-0.26678467
0.4897538,0.2656814,-0.58484113,-0.80129766,-1.7506043,0.9521712
-0.2811907,1.2760555,0.43689352,1.0192534,0.4485306,0.10415721
-1.5268991,-0.5288151,0.31169948,0.09210569,-0.61940485,-0.3544258
-1.0926026,-0.66684353,-0.12573774,-0.48627,-0.060485773,-0.6399958
0.7757445,0.08940029,0.49954206,0.23851821,-0.033978783,-0.13728139
0.44877258,0.26721343,-0.0923767,0.74237436,0.097947456,0.40167516
-0.5016147,-0.77709025,-0.51800287,-0.37676096,-0.7316967,-0.42875114
1.4745702,1.2096616,1.404593,1.5379442,0.34514812,1.4271274
-0.7347751,-0.31025708,0.31317034,-0.7521589,-0.87055,-0.15422407
-0.18884256,-0.33167693,0.03654994,0.30518326,-0.05257308,0.5701921
-1.5571102,0.16923001,0.7413098,0.8234277,0.16032021,1.690073
-0.14718705,0.47896644,-0.048057787,0.12096608,0.76372266,0.4151494
0.09162978,1.1823372,1.6937401,1.1890644,1.0699484,0.57631785
-0.4379411,0.37895882,1.1020681,0.37838873,-0.59344715,0.307383
-0.47798413,0.44745716,-0.15038094,0.64320606,0.27985555,0.4688661
-0.8264923,-0.8316403,-0.5818916,-0.35994127,0.76723963,-0.3200207
0.41452748,0.3245351,0.8402736,0.88225985,1.0262618,0.95769703
-1.0097975,0.024127811,-0.19900596,-0.21803203,0.9238757,-1.0845764
0.21638589,0.7122924,0.8427275,0.6938768,0.97696114,1.0504204
