images/0005f7aaab2800f6170c399693a96917.png,images/000920ad0b612851f8e01bcc880d9b3d.png,images/001c62abd11fa4b57bf7a6c603a11bb9.png,images/003046e27c8ead3e3db155780dc5498e.png,images/0032bfa835ce0f43a92ae0bbab6871cb.png,images/00d7ec94436e3a1416a3b302914957d3.png
0.5161644,0.022050034,0.37875617,0.2506245,0.32935107,0.38888332
-0.12432068,-0.7052323,0.33357754,-0.456121,-0.2735706,0.113445915
1.0227606,0.9820463,0.5073085,1.6381998,0.74105793,0.23541956
0.2890162,0.4500325,0.2077713,0.37856007,0.23727621,0.090661354
-0.27933133,-0.30799633,-0.11427799,0.050672296,-0.47470835,0.34792703
0.8405684,0.52046776,0.64261395,0.34169182,0.71406317,0.979908
0.2750393,-0.1443233,0.04574271,-0.2352887,0.14375773,-0.6763155
0.20222235,0.05036945,0.42000297,0.24426323,0.21011034,0.1455682
1.3019059,0.6836023,-0.05368755,0.5033276,0.27858877,0.5474197
0.27780622,0.34322754,-0.31300306,0.7389319,0.19435361,-0.02762062
0.18580176,-0.751104,-1.293071,-0.6109336,-1.0261271,0.59162545
0.34237352,0.288108,0.58272177,-0.40791145,0.31649357,-0.2889411
0.35688555,-0.17665452,-0.23329705,-0.08324435,0.14427668,-0.18210351
-0.4097279,0.18198329,0.36288503,-0.02054924,-0.18835312,0.008824938
-0.40552187,-0.6814173,-0.21386908,-0.59251076,-0.28878912,-0.24770403
0.25424778,0.32442343,0.6583763,0.85194147,0.59502065,-0.7821231
0.13048895,0.12553148,0.16448925,0.07488086,0.45713812,0.26013646
-0.30236137,-0.2927508,-0.24844715,-0.32602176,-0.33572033,-0.075178266
0.26235643,0.3525713,-0.27507368,-0.70722073,0.28792894,0.55855334
0.6527566,1.3402172,0.5487976,0.8840005,0.5073202,-0.06701489
-0.41065302,0.19766955,0.41444328,-0.201365,0.38414335,-0.22884299
-0.031043973,0.5449966,0.17920838,0.07348812,0.1869036,-0.11179774
0.15777044,-0.055700395,0.2669079,0.07388189,0.112962954,-0.09718575
-0.29013413,-0.521651,0.55872357,-0.1846643,0.40641105,0.47224772
-0.72983277,0.22069204,-0.25733352,0.2908917,0.5858536,0.56968474
0.5779034,0.81292206,0.48187673,0.51112103,0.16554168,0.0039620786
-0.57040197,-0.6581083,0.16559668,-0.33926693,0.16310102,-0.15011157
1.1020943,0.73346543,-0.013802335,0.9340156,-0.045483295,0.0897555
0.7942302,0.8490151,0.17305566,0.7451438,0.16374193,-0.12445001
-0.07760794,-0.1882441,-0.31016254,-0.09587706,-0.67192817,-0.8416789
-0.036503006,-0.37361923,0.294417,-0.14126456,0.22660513,0.32489216
0.57970434,-0.2568161,0.06356252,0.73445463,-0.24119093,-0.4525874
0.6923941,-0.10165605,0.0655631,0.3880499,0.59087455,0.08202902
0.8079165,0.9901256,0.38751662,0.62003016,0.05372288,0.27570394
-0.3604491,-0.19136101,-0.20495543,-0.3516586,-0.33307305,-0.54555327
-0.33839586,-0.23183957,0.51571053,0.05611391,0.01895877,-0.16457488
0.017018365,-0.44706887,0.0767084,0.13656585,0.11508167,-0.1956385
-1.1705735,0.17011625,0.33853033,-0.08525789,-0.10384628,0.2937327
-0.7258264,0.3645176,0.62047154,-0.3062516,0.44484422,-0.27515283
0.3326272,0.6748752,0.102116056,0.71542597,0.4691639,0.059505884
0.4669788,1.2202326,0.111183025,0.81285167,0.027707985,0.6237277
0.4505898,0.034428038,-0.7327836,-0.18631355,0.11773512,0.15458767
-0.06454209,0.42280227,0.60193306,-0.13292286,0.18030556,0.15930364
-0.054505903,-0.22378066,-0.2626622,-0.24287839,-0.1595277,-0.06030771
-0.18115263,-0.44967955,0.1913138,-0.38042802,0.12133586,0.12695214
0.16364187,0.4295623,1.0521036,0.5440417,-0.69904363,-0.78214705
0.40811858,0.34248534,-0.52565104,0.23901598,-0.042608473,-0.24659789
-0.673813,-0.9124305,-0.21871206,-1.0585566,-0.4708692,-0.11537486
-0.16859901,0.45215833,-0.0584178,0.42159757,0.34182948,-0.058488995
-0.086290084,-0.079823464,-0.81752986,-0.22281127,-0.73541325,-0.20869063
-0.64508533,0.09831829,-0.46548668,-0.20295961,-0.45342636,-0.4553725
0.20257996,0.224113,0.08233371,0.41553596,-0.14914365,-0.6655532
-0.1251481,-0.0384389,0.12735,0.047286954,-0.087563805,-0.20988047
0.27612865,0.18504812,0.5114098,-0.16386649,-0.1966301,-0.17064092
-0.44060698,-0.22305395,-0.67352915,-0.79849416,-0.799523,-0.098020524
0.259666,1.1681999,0.58769006,0.031146927,1.0829744,-0.5274154
