images/0018ae58b01bdadc8e347995b69f99aa.png,images/0068d4c7529e34fd4c9da863ce01a161.png,images/006f6aa35a78965c92fffd1fbd53a058.png,images/00bbc1482301d16de3ff63238cfd0b34.png,images/00c52cb4db1c7a5811a8f070a910c038.png,images/00ca0c23961b5510be46c917be11c43e.png
-1.4569098,0.8659826,-0.77395767,1.0812589,-0.342427,-1.2829542
-0.053373218,0.19675073,-0.08769648,1.1636974,0.102561384,1.1142604
1.2052857,0.6244536,1.787891,0.3167594,1.296472,0.5718831
-0.14944632,-0.14313339,-0.96047574,0.03521831,0.11525996,-0.90576285
-0.7567196,-1.651543,-0.1947146,-0.074452564,-1.0247711,-0.8618546
1.1346474,0.80822456,1.1804718,0.9438932,0.91918516,1.2874918
0.09196761,-0.7854276,-0.7977649,-0.42457867,-1.295598,-0.80078036
0.90946037,0.6682117,1.1702237,0.09474166,0.75133264,1.2493862
1.7521868,0.98169136,1.1336381,0.70203173,1.3537697,1.3070941
-0.671286,-0.6263182,-0.243729,1.201844,0.007815354,-0.47267252
-0.55950797,0.3679021,-0.49271226,0.04361579,-0.68292344,-0.19087848
-0.964094,0.47077683,-1.8846558,0.17211767,-1.2639732,-1.3766844
-2.4807663,-2.137759,-2.3125296,-2.2405636,-2.3342712,-2.4109094
-1.4089491,-0.5970688,-2.733323,-1.1113061,-2.0913844,-2.533162
1.1690648,1.3605477,1.8176569,0.80397016,1.5334072,2.2648864
-1.9940273,-1.0867543,-2.0606713,-1.4255459,-1.8441788,-2.0108292
0.13477974,-1.1516678,1.3442785,0.39093852,0.36707142,-0.64681107
1.0682328,0.94918525,0.993992,1.6708621,1.5550774,1.6067945
0.33659944,-0.010705816,0.027970474,-1.3655257,-0.226567,-0.06863872
-0.58795315,-0.97145873,0.18472898,-0.68735707,-0.39412007,-0.34248614
-0.60702413,1.726427,0.03337024,0.18382578,0.40794358,-0.3837676
-1.0099548,-0.81309533,0.27242252,-0.13228795,-0.30741888,-1.4112356
-1.5015117,-3.0717852,-3.867734,-3.2713604,-3.667617,-2.9453585
0.69638205,-0.032972198,-0.26293617,-0.45547408,0.05514342,-0.1926063
1.8987727,0.003410631,1.074848,-0.30369014,1.0209278,0.66585034
0.393283,-0.66289043,-1.4499196,0.44089633,-0.065375134,0.4435907
0.103375666,1.255563,0.09024482,-0.82340163,-0.30536866,-1.0599174
-0.72105694,-0.6415923,0.44371518,-1.6141769,-0.43265557,-0.28733233
3.6214647,0.46498942,2.7680929,2.1135328,2.6623769,1.3829726
-0.91150576,0.78502274,-0.72474384,-0.7615532,-0.6523198,-0.8387627
0.45969805,-1.4404627,-0.17853987,-0.003537277,-0.27196324,-0.19840486
-0.98630553,-1.0114413,-0.7706816,-1.2222041,-0.8982859,-1.1197797
-1.389251,-0.36713895,-1.4287492,-0.6578115,-1.8393637,-1.8032944
0.30629075,1.8477193,0.46988615,-0.66064173,0.793925,1.3733443
-0.03131836,0.70846003,-0.0031767795,-0.8619799,-0.39388886,-0.28800836
-1.9933553,-0.35516956,-1.4528899,0.2766393,-0.8421282,-1.197833
-0.47093,-0.8066174,-0.73358494,-0.6775736,-0.78359807,-0.5116969
0.62542856,-0.22304216,0.7479513,-0.26633188,-0.38110393,-0.4802553
-0.17183961,0.99454474,-1.0817628,0.25846314,0.11761451,-0.39667562
0.7011075,1.04813,1.8718203,-0.66165644,1.3049107,1.6577808
0.29634893,-1.0533766,-0.1473364,-0.37576836,-0.72835803,0.16987728
-0.93798965,-0.6881246,-1.4597255,0.36720064,-0.84997857,-1.4432553
1.3428098,0.7387941,0.074725784,-0.35199252,0.933384,0.9517378
-0.13362238,0.29450125,-0.023898736,-0.82383114,-0.20035467,-0.962152
-0.37112933,-1.6613258,0.40524969,-1.4078245,-0.8934791,-0.4046698
-2.6219823,0.084599875,-0.82824254,0.30567002,-0.9524222,-0.022781903
-0.43971062,-0.40541,0.2980806,0.38874328,0.6049391,-0.07760656
-1.0428574,0.13517933,-0.54112494,-0.51055,-0.7405396,-0.8311033
-0.0996166,2.609748,-0.014412222,1.8592161,0.67205614,0.9877156
-0.3971884,-1.3352342,-1.6524026,-1.0709169,-1.3545132,-1.3020425
1.0241774,1.5336093,0.23075306,0.1266675,0.6967205,0.5278951
-0.21995218,-0.24295382,1.3297641,0.967198,1.771499,-0.006978202
0.87624043,1.1398282,0.77496505,0.014835004,0.3648309,0.5858174
1.3443321,-0.25064918,1.2924087,-0.2652821,0.7345133,0.85548496
-0.13134538,0.01907287,-0.620536,-0.4364156,0.1823723,-0.6734811
0.17958847,1.0464026,0.7265614,0.30497062,0.38654563,0.62306964
0.45512584,-0.48568836,-0.2028721,0.021027569,-0.20808466,-0.16358301
1.3886431,1.8455609,0.725863,0.5216832,0.58921576,1.1819127
-0.26797926,-0.39678842,0.57873046,-0.71212995,0.52968085,-0.18791296
1.6527103,0.5436104,0.9060148,0.96054596,1.2497643,0.55600584
-0.5326849,0.67708445,-0.933288,0.4814975,-0.23610806,0.30137545
-0.6021621,0.7678979,-0.008050447,-0.005287262,0.19020857,0.15919492
0.544903,1.3231606,1.0233475,0.92872643,0.89275396,1.2362455
1.0147872,-0.39194417,-0.22220673,-1.1524357,0.3750414,1.1110219
0.90238273,1.6483426,-0.22379358,0.86804444,1.0950204,1.5290062
-2.3753407,-1.1467117,-1.5096952,-1.1960005,-2.021235,-2.2528622
1.0234089,0.21805596,0.31280884,0.013438181,0.733185,1.9748545
0.92034477,1.2835819,1.2742051,0.7184296,1.1816912,1.0549349
-0.026229642,-1.3663288,-0.99168336,-0.51851004,-1.7985511,-0.5578731
-0.9676324,1.0686913,-0.0073106154,0.62756866,-0.22925988,-0.060710795
2.0933769,0.17488039,1.9300278,1.5589265,1.6233644,1.326132
-1.2135601,0.030429648,-0.062428635,0.73090535,0.24636239,0.4262864
1.8763832,1.6677022,1.151837,0.6708609,1.4559104,1.4027604
1.791653,0.44426385,1.3118362,0.91128176,1.0611804,0.9870042
-0.66988903,-2.2221186,-1.7615312,-1.8633116,-0.7367846,-1.3494096
0.87298155,-1.1972024,1.7618551,0.27292413,0.85973275,-0.41249123
0.7477939,0.6170612,0.44390476,-1.315641,-0.62380815,0.07352872
1.4175844,1.039688,0.0098102875,0.38813558,0.66851157,-0.5324952
-1.1125336,-1.2476496,-2.108091,-2.7984307,-1.9764359,-2.2628248
-0.17231597,1.99511,0.3906785,1.6868179,0.74713296,0.7580893
1.7412794,0.98535395,0.45994133,-1.3869864,0.64985645,1.1787807
-0.9682159,0.2528895,-0.07948941,-0.33836782,-0.28411674,-0.19559945
0.45165908,-1.9207548,-0.26535827,-1.0885944,-0.48818508,-1.3796078
-0.75033206,0.87070006,-0.6155349,-0.41850245,0.20508277,-0.67822826
0.100325175,0.7666907,-0.40893808,-0.5089515,-0.39253247,-0.1502945
-0.10657697,-0.13657011,-1.4177802,0.42449003,-0.5989984,-0.46554914
-0.8894404,-0.37695074,0.09358201,-0.9470099,-0.31398693,0.08841966
-0.64130867,0.22918655,0.2782919,-0.02217444,-0.44512537,0.27143282
0.29446936,0.07780369,-0.037008047,0.2376528,-0.06038209,-0.32274926
0.121955104,-0.0015334293,0.16690062,0.4960583,-0.22011042,-0.78173953
-0.41956353,-1.1960516,-0.31492662,-0.34922627,-0.29323363,0.22320305
-0.04267586,1.5132017,0.28106874,1.0940318,0.35919842,0.24985337
1.6032501,-0.41362295,0.19197087,0.554581,0.18281105,-0.7115191
-0.831905,0.19957066,-0.2759001,-0.48927733,-0.25029027,-0.05683857
2.5017667,-1.099011,1.2099149,-1.2183005,0.6825486,0.14359887
0.15725054,-1.3676564,-0.81424916,0.47816908,0.10376862,0.16991341
0.8420319,-0.025021665,0.37334278,0.71431845,1.1505094,-0.05577693
1.4571,1.3662002,1.5598022,0.48378676,1.4254681,1.1144345
-0.712099,1.5910782,-0.5943511,2.0350676,0.847998,0.24565296
0.14721791,0.5571628,0.066315606,0.23470977,0.37304878,0.47842556
0.69863933,1.304106,0.8321674,1.397011,0.75047,2.0231338
0.48621544,-0.050499424,-0.7456376,0.06350092,-0.12238039,0.56833607
-1.1403393,-1.7680968,-0.47285974,-0.049895696,-0.41002578,-0.02321387
-0.3596773,0.7801942,0.057044987,0.8285489,-0.05075841,0.23297915
0.08217681,0.2722542,-0.86162066,0.39214757,-0.35048345,-0.44956946
0.3471766,0.43448347,0.62606406,-0.021181453,1.0937318,0.7093292
-0.79604095,-0.6817857,-0.8076675,-0.079282016,-1.1209652,-0.38807663
-0.5381755,-0.6696288,0.10322436,-2.0293746,-0.6559197,-0.33002356
0.32967636,-0.9355526,-0.56079847,-0.16652039,0.051464714,0.09409037
-0.6468835,-1.2927215,0.19745208,-1.7632356,-0.49081293,-1.0987546
0.39644557,0.06409795,0.9421175,1.818128,0.015573874,0.96339196
0.35567683,0.767731,-0.040254045,0.6452394,1.2443002,0.027808825
1.2293884,0.2061257,-0.41539904,1.0335959,0.061816756,0.77795756
1.2487187,1.2591773,0.8536195,1.9051943,0.9565099,1.1933569
-0.15222788,-1.5223261,-0.9085004,-0.46692106,-0.18513307,-1.1581124
-1.1724558,-0.19239186,-1.4288809,-0.19769286,-0.9014063,0.18803431
-0.045139834,1.4117951,0.5279577,0.6944794,1.1209866,0.3607437
-0.28426373,0.052277308,-0.3279693,-1.3311281,-0.720201,-0.66993994
-0.7881159,0.94628364,0.65854526,0.7235993,0.37825492,0.06705946
-0.62843645,-0.94737285,-1.4566541,-0.74308896,-1.1991376,0.19681735
-0.6658989,-1.6093057,-1.2162137,-0.92024696,-1.1315186,-1.3829274
2.6338272,0.767149,3.101445,1.0497434,2.4798534,2.5450962
2.453613,-0.030155381,2.578229,0.9148923,2.0837512,2.8124895
-0.29915437,-0.14196552,-0.319094,1.5476372,0.106281556,-0.83921474
2.033609,1.3872507,1.4836537,0.74428374,1.8675239,1.5713549
0.119134516,0.54903656,0.7787427,-0.07084865,0.49733108,0.5895102
0.7082743,-0.9409775,-0.073117025,-0.24796782,-0.06190405,1.162325
0.83422714,-0.5940024,0.4419701,0.3954981,0.32644624,0.04353379
0.44309002,0.7981379,0.98375183,-0.59750247,0.60639614,0.51568806
-0.80765384,-0.8120312,-0.99918,-0.10303436,-1.3123709,-1.6493939
-1.9128824,-0.5070607,-1.6396053,-1.1263164,-1.299354,-0.94321984
-0.7495926,0.0903806,-0.39713576,0.6529565,0.34060612,0.9386717
-0.30585578,0.19875646,0.8333107,0.37318134,0.80167437,1.0001074
0.19812447,-0.25191927,0.5964836,0.59573543,1.1056546,-0.19266835
-0.39866492,0.3988825,-0.28255048,0.040326826,-0.094349414,-0.13876358
-0.05991352,0.7894803,0.33789343,0.86728317,0.5042066,0.06649025
0.63067913,0.15649785,0.6117729,1.3917433,0.8387919,0.249999
-0.02536054,-0.992817,-0.48333263,-2.2244346,-1.2068725,-0.48364854
0.18746713,1.8391778,-0.29321724,0.8311583,0.3490654,-0.0946902
-0.026770608,-0.038035747,-0.31020084,-0.24253513,-0.7415591,-0.3207074
-1.2242163,0.3932724,0.18618125,-1.0817738,-0.29159826,0.8488613
-0.7169574,0.4633542,-0.05643751,-1.201853,-0.7181671,0.1792913
0.5594436,0.42785472,1.4733027,1.8421898,1.3332721,1.7986159
-1.8367611,-1.1245292,-2.0795429,-1.6010898,-1.5515667,-1.7031374
0.3456357,1.5416116,0.80462974,1.54959,0.7731861,1.4217751
0.30489582,0.13786945,-0.4443516,-0.66302407,-0.49430504,-0.6669006
0.24871056,-0.17051621,0.46326876,-0.3164537,0.48583576,0.08062577
0.83649844,1.4376068,-0.4199318,1.1508639,0.5512892,0.38427743
-0.55037504,0.52379185,-0.74208516,1.036693,-0.30471376,-0.44084063
-1.5880121,0.08768746,-0.9964222,-0.6791089,-1.3763503,-0.6936729
-1.4414235,0.10139699,-0.20555122,0.11357879,-0.35498282,-1.0222824
-0.8952653,-0.10633294,-0.7051252,-0.29497135,0.11276693,0.9234872
0.8900427,0.009630852,0.39914554,-1.3845974,-0.7364996,-1.2522525
0.52763385,2.2122493,1.0301996,2.0070267,1.3679031,-0.049700014
0.31012353,-0.014971798,0.11510295,0.29050538,0.47031775,-0.3595638
-0.11388598,-1.531034,-1.8980871,-0.972452,-0.79558915,-1.5405488
-1.2018948,-0.7922944,-0.9278881,-0.108549066,-1.2919579,-0.9240712
0.9684762,1.4365898,0.17912816,-0.8739146,0.033946063,-0.22775558
0.24483861,0.6459336,-0.078733526,-0.14637528,0.3036046,0.18205073
-0.01798765,-0.41710082,-0.8466267,-0.6889431,-0.39730558,-1.0826923
-1.4190214,0.093239754,-0.25376132,0.4693025,-0.7392742,-0.3429575
-1.4072032,-1.924574,-0.76612395,0.6214621,-0.77817166,-0.94431275
-0.22432522,0.42862287,0.37282395,-0.17287746,-0.5435035,0.830782
0.7001049,-0.21636121,1.1058167,0.92993194,0.9308883,0.055201966
-0.8289272,-2.217366,-0.8923636,-1.4632375,-2.0238392,-1.6031436
0.095962,0.056558616,1.3025475,0.676855,0.2782832,0.34349668
-0.89790696,-1.5379,-1.3004638,-0.44510406,-1.2783643,-0.9134847
-1.375491,0.7087531,-0.34442148,0.18436746,-0.3056194,1.0247698
2.3240848,-0.7307346,1.1634135,-0.90066224,0.9844684,-0.23901506
0.28429624,1.3204097,1.2290756,1.3111552,1.7699982,0.96178293
0.66159785,0.97986615,0.001946597,-0.8383785,0.2063551,0.031221047
0.446382,-0.027671074,0.38582775,-0.30432904,0.5664423,-0.17621289
-0.71446913,-0.23398697,-1.1425171,0.50289625,-0.541367,-0.94440013
-0.3209194,-1.2285101,-1.6510772,-1.3471537,-1.7330323,-1.7417673
-1.7106622,-0.7860035,0.18661715,-1.4924027,-1.4910616,-1.5248746
-0.37720844,0.33871108,-0.320308,-0.5268108,-0.65860975,-1.123603
0.7802871,-0.0012059661,0.45920712,-0.42818505,1.0664687,0.14430152
0.15165563,-0.7836713,0.039291427,-1.487058,-0.56012535,-0.444449
1.5484877,0.44566074,1.657552,1.478203,1.2101843,1.1914512
-1.6700476,-2.857291,-1.951768,-1.401437,-2.063961,-1.475943
-1.0118238,0.18523084,0.5922689,1.0493482,0.4438376,0.5292744
