images/0018ae58b01bdadc8e347995b69f99aa.png,images/0068d4c7529e34fd4c9da863ce01a161.png,images/006f6aa35a78965c92fffd1fbd53a058.png,images/00bbc1482301d16de3ff63238cfd0b34.png,images/00c52cb4db1c7a5811a8f070a910c038.png,images/00ca0c23961b5510be46c917be11c43e.png
-0.040696546,0.48563248,-0.058015868,0.33712363,0.65742064,0.4172932
0.19759588,-0.44569668,-0.31237477,-0.29056004,-0.40505475,-0.49423605
-0.1486204,0.680521,0.49446595,0.70561314,0.39012954,1.6145737
0.15631118,0.23555274,0.16493647,0.21413898,0.19842835,0.42274037
0.69811726,0.0030761147,0.1813053,0.37613684,0.33119276,-0.3691039
0.45609432,0.4118065,0.7031719,0.86481184,0.7418809,0.6394069
-0.36495435,0.29936084,0.0641361,-0.3456367,0.42002767,-0.2698592
0.4200866,0.33017474,0.40548348,-0.10515618,0.13805038,0.39170516
-0.42300698,0.14235252,0.25027096,0.20444383,0.495923,0.5676402
0.66597104,-0.67127466,-0.07915459,-0.32108018,-0.68891114,0.4224658
-0.81554836,-0.6389349,-0.7922503,0.14034621,-0.6049024,-0.831349
-0.011731611,0.30507174,0.46249864,-0.042515993,-0.43700325,-0.2955863
-0.3014347,-0.07633352,0.055461824,0.3273803,-0.030907273,-0.18728563
0.66900027,0.3550151,0.25207517,0.06821736,-0.079620026,-0.47685248
-0.14591762,-0.42395672,-0.37636545,-0.22984622,-0.35881212,-0.5190197
0.8367992,1.0717447,0.7147778,0.3509346,0.31795081,0.41466916
0.965275,0.76466864,0.6340615,0.4828893,0.28820464,0.19729617
-0.30461675,-0.37231293,-0.34069484,-0.6781039,-0.48924798,-0.18455587
0.09955211,0.5618212,0.021755408,0.8215451,0.093521155,-0.37169433
0.027234206,0.13172895,0.5740203,-0.0029676035,0.42610005,1.0820454
-0.35384864,0.30701554,0.27778903,0.1322935,-0.077511065,0.004843791
-0.065628216,0.22960658,0.18219206,-0.12780483,-0.13516714,0.19194105
-0.246606,0.042652573,-0.027635023,-0.25093618,-0.2278022,-0.1739581
0.19657612,-0.09257794,0.41155007,-0.2469087,0.11319928,0.081774935
0.21019478,0.30102664,0.085800394,0.41646025,0.057082266,-0.19361474
0.20582356,-0.099582635,0.29458654,-0.41103148,-0.27094758,0.3431313
0.40370655,-0.28151754,-0.2721261,-0.36523038,-0.21732013,0.18078375
0.635581,0.028667273,0.35552776,0.57730967,0.39075434,0.36737534
0.2217724,0.82404006,0.23566326,-0.06635932,0.2648327,0.52258295
-0.056055773,0.5746566,-0.6834298,0.080953546,-0.21018273,-0.10386761
0.095413804,0.114725165,0.18598008,0.07776621,0.11933308,-0.19696608
-0.21776283,0.015022067,-0.33269504,-0.03033569,-0.04094289,0.0408786
0.76254094,0.41298777,0.91733336,0.14930333,-0.100248635,0.600876
0.24124393,1.3380954,0.30245066,0.083213545,0.61872315,0.991928
-0.17165129,-0.04693828,-0.22265814,-0.51827145,-0.50861025,-0.27915534
-0.7198125,-0.010067684,-0.39573103,-0.01787109,-0.25551906,-0.44902182
-0.16255951,0.20424037,-0.04198215,-0.35201314,0.3570718,0.3672413
0.8209511,-0.29547396,0.35711583,-0.11250943,0.1731063,-0.008147626
0.19655359,0.49088734,0.22484152,-0.4249055,0.4175361,0.31163996
0.07645044,0.40085414,0.4120517,0.3229592,0.11838484,0.3180962
-0.5910886,0.3518291,0.047164224,-0.3413847,0.8710477,0.051744748
-0.21564826,-0.050676104,0.5783796,-0.10035078,-0.23306836,-0.0074396487
0.17247093,0.17414288,0.11352146,-0.1412714,-0.18022075,0.091001205
-0.27595747,-0.685371,-0.20753285,-0.04493652,-0.13998005,-0.53633165
0.010288189,-0.24834962,0.03723083,-0.34842393,0.18782002,-0.2420611
0.41322878,0.43063095,0.061358325,-0.11003182,-0.08580749,0.030314716
-0.13627224,-0.31137303,0.07202974,-0.21764266,0.039316226,-0.092293814
-0.033052634,-0.51713973,-0.34554917,-0.30108774,-0.14410119,-1.1158013
0.03097714,0.3360123,0.1054876,-0.022773404,0.38014895,0.7454847
-0.07129643,-0.16813564,-0.41838047,0.11450009,-0.14636175,-0.1800276
0.36178988,-0.25800544,-0.53191924,-0.22320521,-0.07316887,0.025241507
0.033564776,0.0705264,0.15373643,-0.4567029,0.031732704,0.3581412
0.12881823,0.055430666,0.06259561,-0.019231139,-0.07687644,0.122092314
0.68952036,0.38797522,0.6858639,-0.02022052,0.2763027,0.23859613
-0.50485075,0.001715511,-1.0399866,-0.20552886,-0.0008531693,-0.5956131
0.73616797,1.2031926,0.6332272,-0.0892292,0.32378373,0.6652331
-0.1585028,0.030455055,-0.029731313,-0.14342609,-0.100443885,0.06855225
0.17623524,-0.07584887,-0.23936653,0.45856246,-0.4596834,-0.035984296
1.092529,-0.20040293,0.08524906,0.5484767,0.50590235,-0.8487396
0.31460208,0.326829,0.0016739677,0.54937226,0.49107113,0.44995907
-0.6023928,0.32059234,-0.09547495,-0.0040289355,0.49962527,-0.13942973
0.3018119,0.28128132,0.31564954,0.31521875,0.2702811,0.462622
0.22420345,0.6540684,-0.21084262,-0.16162194,0.0035367217,0.4482406
0.22090137,-0.16456671,0.3784161,-0.4987906,0.22101709,-0.4338871
-1.0457766,-0.87370116,-1.158544,-1.0000565,-1.1802653,-1.0309094
0.34296986,-0.32149866,0.39920974,-0.25547358,-0.22314847,0.33176294
-0.0836329,0.04428465,0.57982475,-0.149115,0.030430576,0.1274357
-0.06620914,-0.11759186,-0.35031876,0.08401335,0.022239598,-0.07043673
0.47761348,-0.20487031,0.1804797,0.43828332,-0.22028637,-0.19337925
-0.23941,-0.59212744,-0.27861717,0.20565046,-0.11078225,-0.3477495
-0.14363866,0.068957955,-0.4036138,0.3890712,-0.37847167,-0.47432062
0.04319717,0.016571172,0.300119,0.11067164,0.16569659,-0.02931912
0.28586265,-0.05484276,0.5454974,0.6947716,0.37044665,0.34526825
-0.54695916,0.11482752,0.023952842,-0.09302292,-0.07629663,-0.26495108
-0.17037028,-0.61528295,0.12612769,-0.5756387,-0.55193293,-0.019753378
0.8107795,-0.9362169,-0.01363946,-0.15283357,0.008235631,-0.46479446
-0.15220964,0.3331987,0.016175633,-0.1682156,0.022175482,0.2900549
0.7220099,0.5835527,0.42791343,0.3507764,0.4387463,0.32975686
0.37153655,0.1479894,0.7908475,0.4439149,0.48327306,0.121077396
0.64523673,-0.10394509,-0.74908537,-0.14000219,0.28384992,-0.4685947
-0.21310665,-0.86186224,-0.16095074,0.31802887,-0.67123556,-0.89339936
-0.07705428,0.21692377,-0.3977066,0.32692298,-0.07052333,0.5003192
-0.24266979,0.8364657,0.043543153,0.35848066,0.42160642,0.35177585
0.5585955,0.57180935,0.6699785,0.70339334,0.27042544,0.22812337
-0.36434117,-0.67618686,-0.4325525,-0.76048774,-0.7011812,-0.5990005
0.8974352,0.6460691,0.09301465,0.30625653,0.237579,0.38720068
0.16297169,0.39959297,-0.4134293,-0.01503632,0.23696412,0.40408722
-0.43022346,-1.061848,-0.73561966,0.09689014,-0.40822613,-0.22604847
0.39389318,-0.2715058,0.32237616,0.037380017,-0.14473146,0.14142409
-0.3589227,-0.16133781,0.1351352,0.37741858,0.18328916,0.8375207
0.41994736,-0.25097975,0.515133,0.20668621,0.1536857,-0.20843524
-0.14485498,0.25893918,-0.2958483,-0.44599184,-0.29062766,0.015566693
-0.82221013,-0.31677344,-0.2923723,-0.09705893,-0.20133974,0.3043002
0.31099215,0.3553348,0.08965448,0.29988676,0.3943905,0.507884
0.03668451,0.7999517,-0.39228398,0.3346099,0.35820547,-0.26903492
0.26732743,0.4982527,-0.57056785,0.02762647,0.029218452,0.2528406
0.7401812,-0.93697,-0.26040268,-0.285639,-0.6403467,-0.8167552
0.10483593,-0.28594545,-0.20073912,-0.79237324,-0.28314304,0.023628728
-0.5671838,-0.6583407,-0.37986267,-0.16497159,-0.25730973,-0.53585714
-0.21577156,-0.09510242,0.4301657,-0.5493197,-0.6264987,0.3034816
-0.83277506,-0.04649407,-0.4323088,0.3177771,0.37991416,0.044198085
0.10406114,-0.33258316,-0.010778527,-0.5995501,-0.45878977,0.06225257
0.68776834,0.1925866,1.0001884,0.059313145,0.13082713,0.52111495
-0.07732705,0.8883334,0.5682293,0.38646698,0.38990805,0.5610757
-0.78624886,-0.42248395,-0.3206265,-0.57969505,-1.3678787,-0.8751383
0.18522899,-0.32603824,-0.24321276,-0.25270244,-0.34920058,-0.47623804
-0.89181674,-0.5941666,-0.7734358,-0.30249935,-0.49375305,-0.23283246
-0.16292074,-0.18809582,0.22937563,0.14810292,0.29214498,-0.696013
0.24339123,-0.73170847,-0.30083597,-0.6361244,-0.91186404,-0.5349662
